0.75;1;30;0;65;11111;-2;-2;-1;11111;-1;-1;-0;0;2;0
0.25;1;30;0;30;11111;-2;-2;-1;11111;-1;-1;0;0;2;0
0.175;1;30;0;10;11111;-2;-2;-1;11111;-1;-1;0;0;2;0
0;0;30;180;999;11111;-2;-2;-1;11111;0.75;-1;0;3;3;0
1;1;-1;-1;-1;11111;0.8;-0.22;270;11111;-1;-1;0;0;2;0
1;1;0;-1;17;11111;-2;-2;-1;11111;-1;-1;0;0;2;0
1;1;-1;-1;-1;11111;0.8;-0.22;220;11111;-1;-1;0;0;2;0
0.5;1;260;180;50;11111;-2;-2;-1;11111;-1;-1;0;0;2;0
0;0;30;180;999;11111;-2;-2;-1;11111;0.075;-1;0;0;2;0
0;0;-1;-1;-1;11111;0;0.13;185;11111;-1;-1;0;0;2;0
0;0;30;180;999;11111;-2;-2;-1;11111;1;-1;0;1;4;1
0;0;30;180;999;11111;-2;-2;-1;11111;1;-1;0;1;1;1
1;1;-1;-1;-1;11111;-0.6;-0.58;40;11111;-1;-1;0;0;2;0
0;0;30;180;999;11111;-2;-2;-1;11111;2.25;-1;0;12;2;0
0;0;30;180;999;11111;-2;-2;-1;11111;2;-1;0;12;5;0
0;0;30;180;999;11111;-2;-2;-1;11111;-1;-1;0;12;2;0
