1;1;90;0;125;11111;-2;-2;-1;11111;-1;-1;-0;0;2;0
0.6;1;90;0;40;11111;-2;-2;-1;11111;-1;-1;0;0;2;0
0.25;1;90;0;16;11111;-2;-2;-1;11111;-1;-1;0;0;2;0
1;1;-1;-1;-1;11111;0.62;-0.33;298;11111;-1;-1;0;0;2;0
1;1;0;270;111;11111;-2;-2;-1;11111;-1;-1;0;0;2;0
1;1;-1;-1;-1;11111;0.66;0.3;345;11111;-1;-1;0;0;2;0
1;1;-1;-1;-1;11111;0;0.25;70;11111;-1;-1;0;0;2;0
1;1;-1;-1;-1;11111;0;0.125;90;11111;-1;-1;0;12;2;0
0.5;0;270;-1;4;11111;-2;-2;-1;11111;-1;-1;0;12;2;0
0;0;270;-1;999;11111;-2;-2;-1;11111;2.2;-1;0;12;2;0
0;0;180;-1;999;11111;-2;-2;-1;11111;0.3;-1;0;12;3;0
1;1;-1;-1;-1;11111;-0.54;-0.66;280;11111;-1;-1;0;0;2;0
1;1;-1;-1;-1;11111;0;0.2;270;11111;-1;-1;0;0;2;0
0;0;30;0;999;11111;-2;-2;-1;11111;0.075;-1;-90;0;2;0
1;1;-1;-1;-1;11111;0;0.125;270;11111;-1;-1;0;0;2;0
0.5;0;180;-1;11;11111;-2;-2;-1;11111;-1;-1;0;0;2;0
0;0;30;0;999;11111;-2;-2;-1;11111;0.075;-1;-90;0;2;0
0.6;0;270;-1;999;11111;-2;-2;-1;11111;0.7;-1;0;0;2;0
0;0;30;-1;999;11111;-2;-2;-1;11111;1;-1;0;1;4;1
0;0;30;-1;999;11111;-2;-2;-1;11111;1;-1;0;1;1;1
0;0;30;0;999;11111;-2;-2;-1;11111;0.4;-1;-90;0;2;0
0.25;0;270;0;999;11111;-2;-2;-1;11111;0.5;-1;-90;24;2;0
0;0;30;0;999;11111;-2;-2;-1;11111;0.5;-1;-90;24;5;0
0.25;0;90;0;999;11111;-2;-2;-1;11111;0.5;-1;-90;24;2;0
0;0;30;0;999;11111;-2;-2;-1;11111;-1;-1;-90;0;2;0
