1;1;90;0;56;11111;-2;-2;-1;11111;-1;-1;-0;24;2;0
0.75;1;90;0;30;11111;-2;-2;-1;11111;-1;-1;-0;24;2;0
0.6;1;90;0;22;11111;-2;-2;-1;11111;-1;-1;0;24;2;0
0.5;1;90;0;35;11111;-2;-2;-1;11111;-1;-1;0;24;3;0
0.4;1;90;0;22;11111;-2;-2;-1;11111;-1;-1;0;24;2;0
0.25;1;90;0;15;11111;-2;-2;-1;11111;-1;-1;0;0;2;0
0;0;30;-1;999;11111;-2;-2;-1;11111;0.075;-1;0;0;2;0
0.25;0;0;-1;10;11111;-2;-2;-1;11111;1;-1;0;0;2;0
0;0;30;-1;999;11111;-2;-2;-1;11111;1;-1;0;1;4;1
0;0;30;-1;999;11111;-2;-2;-1;11111;1;-1;0;1;1;1
0.25;0;180;-1;17;11111;-2;-2;-1;11111;1;-1;0;0;2;0
0;0;30;-1;999;11111;-2;-2;-1;11111;0.075;-1;0;0;2;0
0.5;1;90;0;35;11111;-2;-2;-1;11111;-1;-1;0;12;2;0
0.6;1;90;0;20;11111;-2;-2;-1;11111;-1;-1;0;12;2;0
0.3;1;90;0;25;11111;-2;-2;-1;11111;-1;-1;0;12;2;0
0;0;30;-1;999;11111;-2;-2;-1;11111;0.75;-1;0;12;3;0
0.45;1;270;0;10;11111;-2;-2;-1;11111;-1;-1;0;12;2;0
0.85;1;270;0;25;11111;-2;-2;-1;11111;-1;-1;0;12;2;0
0.85;1;270;0;15;11111;-2;-2;-1;11111;-1;-1;0;0;2;0
0.5;1;270;0;12;11111;-2;-2;-1;11111;-1;-1;0;0;2;0
0.25;1;270;0;17;11111;-2;-2;-1;11111;-1;-1;0;0;2;0
0.7;1;0;0;28;11111;-2;-2;-1;11111;-1;-1;0;0;2;0
0.25;1;0;0;10;11111;-2;-2;-1;11111;-1;-1;0;0;2;0
0;0;30;-1;999;11111;-2;-2;-1;11111;1;-1;0;1;4;1
0;0;30;-1;999;11111;-2;-2;-1;11111;1;-1;0;1;1;1
0;0;85;0;999;11111;-2;-2;-1;11111;-1;-1;-90;0;2;0
